,Project_ID,Name,Full_name,Language,Forks,Stars,Watchers,PRs_count
0,4544260.0,any23,apache/any23,HTML,57.0,82.0,16.0,273.0
1,34039690.0,groovy,apache/groovy,Java,1701.0,4461.0,232.0,1705.0
2,436401315.0,dj_start,YuriyGamiy/dj_start,Python,0.0,0.0,1.0,0.0
